Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
1833 HK Equity,False,,2017-07-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-28,,,,,,,,,,,,,0.398,,5988.375,,,1688.0,,,,
1833 HK Equity,False,,2017-07-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-07-31,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-08-31,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-09-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-10-31,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-11-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-29,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-30,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-01-31,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-23,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-24,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-25,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-26,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-27,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-02-28,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-01,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-02,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-03,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-04,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-05,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-06,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-07,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-08,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-09,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-10,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-11,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-12,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-13,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-14,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-15,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-16,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-17,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-18,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-19,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-20,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-21,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-22,,,,,,,,,,,,,,,,,,,,,,
1833 HK Equity,False,,2018-03-23,,,,,,,,,,,,,,,,,,,,,,
